"","Drug","QTLregion","Gene_ID","Feature_ID","Gene_Name"
"66","Albendazole","IV:15429543-16403255","WBGene00009539","F38C2.7","NA"
"67","Albendazole","IV:15429543-16403255","WBGene00009537","F38C2.5","ccch-2"
"68","Albendazole","IV:15429543-16403255","WBGene00009538","F38C2.6","clec-191"
"69","Albendazole","IV:15429543-16403255","WBGene00023517","Y7A9C.9","srz-75"
"70","Albendazole","IV:15429543-16403255","WBGene00023518","Y7A9C.8","srz-76"
"71","Albendazole","IV:15429543-16403255","WBGene00023514","Y7A9C.7","srz-72"
"72","Albendazole","IV:15429543-16403255","WBGene00004287","K03D3.10","rac-2"
"73","Albendazole","IV:15429543-16403255","WBGene00010531","K03D3.5","NA"
"74","Albendazole","IV:15429543-16403255","WBGene00010530","K03D3.4","srz-61"
"75","Albendazole","IV:15429543-16403255","WBGene00043052","K03D3.11","srz-104"
"76","Albendazole","IV:15429543-16403255","WBGene00044587","K03D3.12","srz-105"
"77","Albendazole","IV:15429543-16403255","WBGene00010528","K03D3.2","NA"
"78","Albendazole","IV:15429543-16403255","WBGene00010527","K03D3.1","srz-74"
"79","Albendazole","IV:15429543-16403255","WBGene00045100","K03D3.14","NA"
"80","Albendazole","IV:15429543-16403255","WBGene00023513","C35D6.10","srz-71"
"81","Albendazole","IV:15429543-16403255","WBGene00023508","C35D6.9a","srz-38"
"82","Albendazole","IV:15429543-16403255","WBGene00005436","C35D6.1","srh-228"
"83","Albendazole","IV:15429543-16403255","WBGene00005435","C35D6.2","srh-227"
"84","Albendazole","IV:15429543-16403255","WBGene00007960","C35D6.3","NA"
"85","Albendazole","IV:15429543-16403255","WBGene00007961","C35D6.4","NA"
"86","Albendazole","IV:15429543-16403255","WBGene00012420","Y7A9D.1","NA"
"87","Albendazole","IV:15429543-16403255","WBGene00185101","Y65A5A.24","NA"
"88","Albendazole","IV:15429543-16403255","WBGene00013418","Y65A5A.1","NA"
"89","Fenbendazole_15","II:5274777-11908334","WBGene00022781","ZK622.3b","pmt-1"
"90","Fenbendazole_15","II:5274777-11908334","WBGene00001806","ZK622.2","gur-5"
"91","Fenbendazole_15","II:5274777-11908334","WBGene00044667","ZK622.5","NA"
"92","Fenbendazole_15","II:5274777-11908334","WBGene00022780","ZK622.1","NA"
"93","Fenbendazole_15","II:5274777-11908334","WBGene00001538","F08B1.2","gcy-12"
"94","Fenbendazole_15","II:5274777-11908334","WBGene00006923","F08B1.1a.1","vhp-1"
"95","Fenbendazole_15","II:5274777-11908334","WBGene00017287","F09E5.9","NA"
"96","Fenbendazole_15","II:5274777-11908334","WBGene00017288","F09E5.10","NA"
"97","Fenbendazole_15","II:5274777-11908334","WBGene00017286","F09E5.8","NA"
"98","Fenbendazole_15","II:5274777-11908334","WBGene00017285","F09E5.7.1","NA"
"99","Fenbendazole_15","II:5274777-11908334","WBGene00005226","F09E5.4","srg-69"
"100","Fenbendazole_15","II:5274777-11908334","WBGene00017289","F09E5.11","NA"
"101","Fenbendazole_15","II:5274777-11908334","WBGene00017284","F09E5.5.1","sec-6"
"102","Fenbendazole_15","II:5274777-11908334","WBGene00017292","F09E5.16","NA"
"103","Fenbendazole_15","II:5274777-11908334","WBGene00017290","F09E5.12","NA"
"104","Fenbendazole_15","II:5274777-11908334","WBGene00000094","F09E5.13","agt-2"
"105","Fenbendazole_15","II:5274777-11908334","WBGene00017283","F09E5.3","NA"
"106","Fenbendazole_15","II:5274777-11908334","WBGene00017282","F09E5.2","algn-2"
"107","Fenbendazole_15","II:5274777-11908334","WBGene00004034","F09E5.1","pkc-3"
"108","Fenbendazole_15","II:5274777-11908334","WBGene00017136","EEED8.6","ccpp-6"
"109","Fenbendazole_15","II:5274777-11908334","WBGene00003583","EEED8.8","ndx-6"
"110","Fenbendazole_15","II:5274777-11908334","WBGene00017144","EEED8.16","brap-2"
"111","Fenbendazole_15","II:5274777-11908334","WBGene00017137","EEED8.9","pink-1"
"112","Fenbendazole_15","II:5274777-11908334","WBGene00017138","EEED8.10a","NA"
"113","Fenbendazole_15","II:5274777-11908334","WBGene00003393","EEED8.5","mog-5"
"114","Fenbendazole_15","II:5274777-11908334","WBGene00017139","EEED8.11","clec-141"
"115","Fenbendazole_15","II:5274777-11908334","WBGene00017140","EEED8.12","NA"
"116","Fenbendazole_15","II:5274777-11908334","WBGene00017135","EEED8.4","NA"
"117","Fenbendazole_15","II:5274777-11908334","WBGene00017141","EEED8.13","NA"
"118","Fenbendazole_15","II:5274777-11908334","WBGene00194696","EEED8.18","NA"
"119","Fenbendazole_15","II:5274777-11908334","WBGene00017142","EEED8.14","NA"
"120","Fenbendazole_15","II:5274777-11908334","WBGene00017134","EEED8.3","NA"
"121","Fenbendazole_15","II:5274777-11908334","WBGene00017133","EEED8.2","NA"
"122","Fenbendazole_15","II:5274777-11908334","WBGene00017143","EEED8.15","NA"
"123","Fenbendazole_15","II:5274777-11908334","WBGene00017219","F07F6.7","NA"
"124","Fenbendazole_15","II:5274777-11908334","WBGene00017220","F07F6.8","NA"
"125","Fenbendazole_15","II:5274777-11908334","WBGene00017217","F07F6.4","NA"
"126","Fenbendazole_15","II:5274777-11908334","WBGene00017216","F07F6.2","NA"
"127","Fenbendazole_15","II:5274777-11908334","WBGene00017218","F07F6.5","dct-5"
"128","Fenbendazole_15","II:5274777-11908334","WBGene00017215","F07F6.1","NA"
"129","Fenbendazole_15","II:5274777-11908334","WBGene00003774","F07F6.6.1","nmr-1"
"130","Fenbendazole_15","II:5274777-11908334","WBGene00000935","F56D1.7","daz-1"
"131","Fenbendazole_15","II:5274777-11908334","WBGene00000548","F56D1.4b","clr-1"
"132","Fenbendazole_15","II:5274777-11908334","WBGene00018960","F56D1.2","NA"
"133","Fenbendazole_15","II:5274777-11908334","WBGene00018959","F56D1.1","NA"
"134","Fenbendazole_15","II:5274777-11908334","WBGene00017394","F12A10.5","cal-8"
"135","Fenbendazole_15","II:5274777-11908334","WBGene00017393","F12A10.4","nep-5"
"136","Fenbendazole_15","II:5274777-11908334","WBGene00017395","F12A10.6","NA"
"137","Fenbendazole_15","II:5274777-11908334","WBGene00017390","F12A10.1","NA"
"138","Fenbendazole_15","II:5274777-11908334","WBGene00017396","F12A10.7","NA"
"139","Fenbendazole_15","II:5274777-11908334","WBGene00017397","F12A10.8","NA"
"140","Fenbendazole_15","II:5274777-11908334","WBGene00001511","ZK177.6","fzy-1"
"141","Fenbendazole_15","II:5274777-11908334","WBGene00000375","ZK177.5.1","cyp-44A1"
"142","Fenbendazole_15","II:5274777-11908334","WBGene00022672","ZK177.4.1","NA"
"143","Fenbendazole_15","II:5274777-11908334","WBGene00022673","ZK177.8a","NA"
"144","Fenbendazole_15","II:5274777-11908334","WBGene00022671","ZK177.3","NA"
"145","Fenbendazole_15","II:5274777-11908334","WBGene00022674","ZK177.9","NA"
"146","Fenbendazole_15","II:5274777-11908334","WBGene00022670","ZK177.2","NA"
"147","Fenbendazole_15","II:5274777-11908334","WBGene00006554","ZK177.10","tbx-35"
"148","Fenbendazole_15","II:5274777-11908334","WBGene00022669","ZK177.1","NA"
"149","Fenbendazole_15","II:5274777-11908334","WBGene00015892","C17C3.9","NA"
"150","Fenbendazole_15","II:5274777-11908334","WBGene00001965","C17C3.8","hlh-26"
"151","Fenbendazole_15","II:5274777-11908334","WBGene00001964","C17C3.7","hlh-25"
"152","Fenbendazole_15","II:5274777-11908334","WBGene00015893","C17C3.11.1","NA"
"153","Fenbendazole_15","II:5274777-11908334","WBGene00001966","C17C3.10","hlh-27"
"154","Fenbendazole_15","II:5274777-11908334","WBGene00002096","C17C3.18","ins-13"
"155","Fenbendazole_15","II:5274777-11908334","WBGene00015894","C17C3.12c.2","acdh-2"
"156","Fenbendazole_15","II:5274777-11908334","WBGene00015891","C17C3.6","NA"
"157","Fenbendazole_15","II:5274777-11908334","WBGene00002095","C17C3.19","ins-12"
"158","Fenbendazole_15","II:5274777-11908334","WBGene00015889","C17C3.3","NA"
"159","Fenbendazole_15","II:5274777-11908334","WBGene00015888","C17C3.2","NA"
"160","Fenbendazole_15","II:5274777-11908334","WBGene00015895","C17C3.13","NA"
"161","Fenbendazole_15","II:5274777-11908334","WBGene00015887","C17C3.1a","NA"
"162","Fenbendazole_15","II:5274777-11908334","WBGene00020803","T25E4.1","NA"
"163","Fenbendazole_15","II:5274777-11908334","WBGene00020804","T25E4.2","NA"
"164","Fenbendazole_15","II:5274777-11908334","WBGene00015917","C17G10.3","NA"
"165","Fenbendazole_15","II:5274777-11908334","WBGene00003097","C17G10.5.1","lys-8"
"166","Fenbendazole_15","II:5274777-11908334","WBGene00000383","C17G10.4b.1","cdc-14"
"167","Fenbendazole_15","II:5274777-11908334","WBGene00015916","C17G10.2","NA"
"168","Fenbendazole_15","II:5274777-11908334","WBGene00015915","C17G10.1.1","NA"
"169","Fenbendazole_15","II:5274777-11908334","WBGene00195182","C17G10.10","NA"
"170","Fenbendazole_15","II:5274777-11908334","WBGene00015918","C17G10.6a","NA"
"171","Fenbendazole_15","II:5274777-11908334","WBGene00000970","C17G10.8","dhs-6"
"172","Fenbendazole_15","II:5274777-11908334","WBGene00015920","C17G10.9a","NA"
"173","Fenbendazole_15","II:5274777-11908334","WBGene00019121","F59E12.5b","npl-4.2"
"174","Fenbendazole_15","II:5274777-11908334","WBGene00235269","F59E12.15","NA"
"175","Fenbendazole_15","II:5274777-11908334","WBGene00019122","F59E12.6a","NA"
"176","Fenbendazole_15","II:5274777-11908334","WBGene00019120","F59E12.4b","npl-4.1"
"177","Fenbendazole_15","II:5274777-11908334","WBGene00019123","F59E12.8","NA"
"178","Fenbendazole_15","II:5274777-11908334","WBGene00019119","F59E12.3","NA"
"179","Fenbendazole_15","II:5274777-11908334","WBGene00019124","F59E12.9","NA"
"180","Fenbendazole_15","II:5274777-11908334","WBGene00019125","F59E12.10","ddl-1"
"181","Fenbendazole_15","II:5274777-11908334","WBGene00019126","F59E12.11","sam-4"
"182","Fenbendazole_15","II:5274777-11908334","WBGene00006988","F59E12.2.1","zyg-1"
"183","Fenbendazole_15","II:5274777-11908334","WBGene00000252","F59E12.12","bli-2"
"184","Fenbendazole_15","II:5274777-11908334","WBGene00019118","F59E12.1","NA"
"185","Fenbendazole_15","II:5274777-11908334","WBGene00006402","F59E12.13.1","fut-3"
"186","Fenbendazole_15","II:5274777-11908334","WBGene00016121","C25H3.12","NA"
"187","Fenbendazole_15","II:5274777-11908334","WBGene00016115","C25H3.6a","mdt-26"
"188","Fenbendazole_15","II:5274777-11908334","WBGene00016116","C25H3.7","NA"
"189","Fenbendazole_15","II:5274777-11908334","WBGene00016117","C25H3.8","NA"
"190","Fenbendazole_15","II:5274777-11908334","WBGene00016120","C25H3.11","NA"
"191","Fenbendazole_15","II:5274777-11908334","WBGene00016118","C25H3.9a","NA"
"192","Fenbendazole_15","II:5274777-11908334","WBGene00016113","C25H3.4","NA"
"193","Fenbendazole_15","II:5274777-11908334","WBGene00016112","C25H3.3","NA"
"194","Fenbendazole_15","II:5274777-11908334","WBGene00016119","C25H3.10a","NA"
"195","Fenbendazole_15","II:5274777-11908334","WBGene00016111","C25H3.1","NA"
"196","Fenbendazole_15","II:5274777-11908334","WBGene00015942","C18A3.4b.1","osta-2"
"197","Fenbendazole_15","II:5274777-11908334","WBGene00015943","C18A3.5a","tiar-1"
"198","Fenbendazole_15","II:5274777-11908334","WBGene00015946","C18A3.10","NA"
"199","Fenbendazole_15","II:5274777-11908334","WBGene00015945","C18A3.9","NA"
"200","Fenbendazole_15","II:5274777-11908334","WBGene00015941","C18A3.3","NA"
"201","Fenbendazole_15","II:5274777-11908334","WBGene00015940","C18A3.2.1","NA"
"202","Fenbendazole_15","II:5274777-11908334","WBGene00015939","C18A3.1","NA"
"203","Fenbendazole_15","II:5274777-11908334","WBGene00004267","C18A3.6a","rab-3"
"204","Fenbendazole_15","II:5274777-11908334","WBGene00044668","C18A3.11","NA"
"205","Fenbendazole_15","II:5274777-11908334","WBGene00001958","C18A3.8","hlh-14"
"206","Fenbendazole_15","II:5274777-11908334","WBGene00044296","F10C1.9.1","NA"
"207","Fenbendazole_15","II:5274777-11908334","WBGene00002054","F10C1.7e","ifb-2"
"208","Fenbendazole_15","II:5274777-11908334","WBGene00017327","F10C1.8a","NA"
"209","Fenbendazole_15","II:5274777-11908334","WBGene00017325","F10C1.3","NA"
"210","Fenbendazole_15","II:5274777-11908334","WBGene00017326","F10C1.5","dmd-5"
"211","Fenbendazole_15","II:5274777-11908334","WBGene00019408","K05F1.6a.1","NA"
"212","Fenbendazole_15","II:5274777-11908334","WBGene00019407","K05F1.5","NA"
"213","Fenbendazole_15","II:5274777-11908334","WBGene00019406","K05F1.3","acdh-8"
"214","Fenbendazole_15","II:5274777-11908334","WBGene00003456","K05F1.7","msp-63"
"215","Fenbendazole_15","II:5274777-11908334","WBGene00003469","K05F1.2","msp-142"
"216","Fenbendazole_15","II:5274777-11908334","WBGene00019409","K05F1.8","NA"
"217","Fenbendazole_15","II:5274777-11908334","WBGene00019410","K05F1.9","NA"
"218","Fenbendazole_15","II:5274777-11908334","WBGene00019405","K05F1.1","NA"
"219","Fenbendazole_15","II:5274777-11908334","WBGene00019411","K05F1.10","NA"
"220","Fenbendazole_15","II:5274777-11908334","WBGene00003457","ZK1248.6","msp-64"
"221","Fenbendazole_15","II:5274777-11908334","WBGene00022876","ZK1248.5","NA"
"222","Fenbendazole_15","II:5274777-11908334","WBGene00022877","ZK1248.7","wago-5"
"223","Fenbendazole_15","II:5274777-11908334","WBGene00044393","ZK1248.20","NA"
"224","Fenbendazole_15","II:5274777-11908334","WBGene00022875","ZK1248.4","NA"
"225","Fenbendazole_15","II:5274777-11908334","WBGene00001224","ZK1248.3a","ehs-1"
"226","Fenbendazole_15","II:5274777-11908334","WBGene00022880","ZK1248.10","tbc-2"
"227","Fenbendazole_15","II:5274777-11908334","WBGene00022882","ZK1248.13","NA"
"228","Fenbendazole_15","II:5274777-11908334","WBGene00001509","ZK1248.14","fzo-1"
"229","Fenbendazole_15","II:5274777-11908334","WBGene00022883","ZK1248.15","NA"
"230","Fenbendazole_15","II:5274777-11908334","WBGene00022885","ZK1248.19","NA"
"231","Fenbendazole_15","II:5274777-11908334","WBGene00022874","ZK1248.1","nep-25"
"232","Fenbendazole_15","II:5274777-11908334","WBGene00022884","ZK1248.17","NA"
"233","Fenbendazole_15","II:5274777-11908334","WBGene00019270","H41C03.3.1","NA"
"234","Fenbendazole_15","II:5274777-11908334","WBGene00019269","H41C03.2","NA"
"235","Fenbendazole_15","II:5274777-11908334","WBGene00019268","H41C03.1","NA"
"236","Fenbendazole_15","II:5274777-11908334","WBGene00018874","F55C12.7.1","tag-234"
"237","Fenbendazole_15","II:5274777-11908334","WBGene00018872","F55C12.5b","NA"
"238","Fenbendazole_15","II:5274777-11908334","WBGene00018873","F55C12.6","NA"
"239","Fenbendazole_15","II:5274777-11908334","WBGene00018870","F55C12.2","NA"
"240","Fenbendazole_15","II:5274777-11908334","WBGene00018869","F55C12.1d","rfip-1"
"241","Fenbendazole_15","II:5274777-11908334","WBGene00019128","F59G1.4a","NA"
"242","Fenbendazole_15","II:5274777-11908334","WBGene00006644","F59G1.2","tsp-18"
"243","Fenbendazole_15","II:5274777-11908334","WBGene00019129","F59G1.8b","NA"
"244","Fenbendazole_15","II:5274777-11908334","WBGene00006933","F59G1.3","vps-35"
"245","Fenbendazole_15","II:5274777-11908334","WBGene00019127","F59G1.1b.1","cgt-3"
"246","Fenbendazole_15","II:5274777-11908334","WBGene00017895","F28B12.3.1","vrk-1"
"247","Fenbendazole_15","II:5274777-11908334","WBGene00001208","F28B12.2a","egl-44"
"248","Fenbendazole_15","II:5274777-11908334","WBGene00206371","F28B12.6","NA"
"249","Fenbendazole_15","II:5274777-11908334","WBGene00017894","F28B12.1","NA"
"250","Fenbendazole_15","II:5274777-11908334","WBGene00015003","B0034.2","NA"
"251","Fenbendazole_15","II:5274777-11908334","WBGene00000403","B0034.3a","casy-1"
"252","Fenbendazole_15","II:5274777-11908334","WBGene00044394","B0034.7","NA"
"253","Fenbendazole_15","II:5274777-11908334","WBGene00015004","B0034.4","NA"
"254","Fenbendazole_15","II:5274777-11908334","WBGene00015002","B0034.1","NA"
"255","Fenbendazole_15","II:5274777-11908334","WBGene00015005","B0034.5","NA"
"256","Fenbendazole_15","II:5274777-11908334","WBGene00002085","ZK75.2","ins-2"
"257","Fenbendazole_15","II:5274777-11908334","WBGene00002087","ZK75.1","ins-4"
"258","Fenbendazole_15","II:5274777-11908334","WBGene00002088","ZK84.3","ins-5"
"259","Fenbendazole_15","II:5274777-11908334","WBGene00002089","ZK84.6","ins-6"
"260","Fenbendazole_15","II:5274777-11908334","WBGene00022651","ZK84.4","NA"
"261","Fenbendazole_15","II:5274777-11908334","WBGene00002103","ZK84.7","ins-20"
"262","Fenbendazole_15","II:5274777-11908334","WBGene00022652","ZK84.5","NA"
"263","Fenbendazole_15","II:5274777-11908334","WBGene00022649","ZK84.1","NA"
"264","Fenbendazole_15","II:5274777-11908334","WBGene00020029","R12C12.9a.1","NA"
"265","Fenbendazole_15","II:5274777-11908334","WBGene00020023","R12C12.3","frpr-16"
"266","Fenbendazole_15","II:5274777-11908334","WBGene00020025","R12C12.5","NA"
"267","Fenbendazole_15","II:5274777-11908334","WBGene00020026","R12C12.6a","NA"
"268","Fenbendazole_15","II:5274777-11908334","WBGene00004306","R12C12.2","ran-5"
"269","Fenbendazole_15","II:5274777-11908334","WBGene00020022","R12C12.1a.1","NA"
"270","Fenbendazole_15","II:5274777-11908334","WBGene00020027","R12C12.7","NA"
"271","Fenbendazole_15","II:5274777-11908334","WBGene00020028","R12C12.8a","NA"
"272","Fenbendazole_15","II:5274777-11908334","WBGene00019190","H12I13.1","NA"
"273","Fenbendazole_15","II:5274777-11908334","WBGene00019191","H12I13.2","NA"
"274","Fenbendazole_15","II:5274777-11908334","WBGene00019192","H12I13.3","NA"
"275","Fenbendazole_15","II:5274777-11908334","WBGene00019193","H12I13.5","NA"
"276","Fenbendazole_15","II:5274777-11908334","WBGene00019194","H12I13.6","NA"
"277","Fenbendazole_15","II:5274777-11908334","WBGene00001401","H12I13.4","fbf-1"
"278","Fenbendazole_15","II:5274777-11908334","WBGene00004209","F21H12.4","ptc-2"
"279","Fenbendazole_15","II:5274777-11908334","WBGene00001402","F21H12.5","fbf-2"
"280","Fenbendazole_15","II:5274777-11908334","WBGene00017686","F21H12.6","tpp-2"
"281","Fenbendazole_15","II:5274777-11908334","WBGene00017683","F21H12.1","rbbp-5"
"282","Fenbendazole_15","II:5274777-11908334","WBGene00004346","C29H12.3a","rgs-3"
"283","Fenbendazole_15","II:5274777-11908334","WBGene00016236","C29H12.5","cec-9"
"284","Fenbendazole_15","II:5274777-11908334","WBGene00016237","C29H12.6","NA"
"285","Fenbendazole_15","II:5274777-11908334","WBGene00016235","C29H12.2.1","NA"
"286","Fenbendazole_15","II:5274777-11908334","WBGene00019018","F57F10.1c","abts-3"
"287","Fenbendazole_15","II:5274777-11908334","WBGene00001373","H35N03.1","exp-1"
"288","Fenbendazole_15","II:5274777-11908334","WBGene00002030","F40H3.5","hst-3.1"
"289","Fenbendazole_15","II:5274777-11908334","WBGene00018251","F40H3.3","NA"
"290","Fenbendazole_15","II:5274777-11908334","WBGene00018250","F40H3.2","NA"
"291","Fenbendazole_15","II:5274777-11908334","WBGene00018249","F40H3.1a","NA"
"292","Fenbendazole_15","II:5274777-11908334","WBGene00018252","F40H3.6","NA"
"293","Fenbendazole_15","II:5274777-11908334","WBGene00001440","F40H3.4b","fkh-8"
"294","Fenbendazole_15","II:5274777-11908334","WBGene00000771","C30B5.3","cpb-2"
"295","Fenbendazole_15","II:5274777-11908334","WBGene00016244","C30B5.2a","NA"
"296","Fenbendazole_15","II:5274777-11908334","WBGene00077732","C30B5.1","szy-4"
"297","Fenbendazole_15","II:5274777-11908334","WBGene00016246","C30B5.5","daf-37"
"298","Fenbendazole_15","II:5274777-11908334","WBGene00194710","C30B5.9","mks-2"
"299","Fenbendazole_15","II:5274777-11908334","WBGene00016247","C30B5.6b","NA"
"300","Fenbendazole_15","II:5274777-11908334","WBGene00016248","C30B5.7","NA"
"301","Fenbendazole_15","II:5274777-11908334","WBGene00020784","T24H7.5b","tat-4"
"302","Fenbendazole_15","II:5274777-11908334","WBGene00020783","T24H7.4.1","blos-4"
"303","Fenbendazole_15","II:5274777-11908334","WBGene00020782","T24H7.3.1","NA"
"304","Fenbendazole_15","II:5274777-11908334","WBGene00020781","T24H7.2","NA"
"305","Fenbendazole_15","II:5274777-11908334","WBGene00004015","T24H7.1","phb-2"
"306","Fenbendazole_15","II:5274777-11908334","WBGene00017438","F13H8.5b","NA"
"307","Fenbendazole_15","II:5274777-11908334","WBGene00017443","F13H8.11","NA"
"308","Fenbendazole_15","II:5274777-11908334","WBGene00017437","F13H8.4","nmgp-1"
"309","Fenbendazole_15","II:5274777-11908334","WBGene00017441","F13H8.8","NA"
"310","Fenbendazole_15","II:5274777-11908334","WBGene00017435","F13H8.2","NA"
"311","Fenbendazole_15","II:5274777-11908334","WBGene00000259","F13H8.10a","bpl-1"
"312","Fenbendazole_15","II:5274777-11908334","WBGene00017442","F13H8.9","NA"
"313","Fenbendazole_15","II:5274777-11908334","WBGene00017439","F13H8.6","NA"
"314","Fenbendazole_15","II:5274777-11908334","WBGene00017440","F13H8.7","upb-1"
"315","Fenbendazole_15","II:5274777-11908334","WBGene00016212","C29F5.3","NA"
"316","Fenbendazole_15","II:5274777-11908334","WBGene00003403","C29F5.4","mps-1"
"317","Fenbendazole_15","II:5274777-11908334","WBGene00016213","C29F5.5","NA"
"318","Fenbendazole_15","II:5274777-11908334","WBGene00016211","C29F5.2","sdz-3"
"319","Fenbendazole_15","II:5274777-11908334","WBGene00016210","C29F5.1","NA"
"320","Fenbendazole_15","II:5274777-11908334","WBGene00016311","C32D5.3.1","NA"
"321","Fenbendazole_15","II:5274777-11908334","WBGene00016312","C32D5.4","NA"
"322","Fenbendazole_15","II:5274777-11908334","WBGene00004860","C32D5.2","sma-6"
"323","Fenbendazole_15","II:5274777-11908334","WBGene00016313","C32D5.5","set-4"
"324","Fenbendazole_15","II:5274777-11908334","WBGene00016314","C32D5.6","NA"
